Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
ff_print_debug_info2_optimized	0.017026	0.017026	0.0	0.0	libavcodec.so.62	ff_print_debug_info2_optimized	mpegutils.c	0x733710
pred_motion	0.016998	0.016998	0.0	0.0	libavcodec.so.62	pred_motion	h264_mvpred.h	0x3cb0fe
decode_cabac_residual_internal	0.014163	0.014163	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c62b2
pred_intra_mode	0.012789	0.012789	0.0	0.0	libavcodec.so.62	pred_intra_mode	h264_mvpred.h	0x3c9a28
fill_rectangle	0.012788	0.012788	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3d89de
av_buffer_replace	0.012760	0.012760	0.0	0.0	libavutil.so.60	av_buffer_replace	buffer.c	0x26c50
decode_cabac_residual_nondc_skip	0.012743	0.012743	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3c8ef0
get_cabac_inline_x86	0.011701	0.011701	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c8c83
decode_cabac_residual_nondc_skip	0.011467	0.011467	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3c9220
get_cabac_cbf_ctx	0.008536	0.008536	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3c8f10
get_cabac_inline_x86	0.008533	0.008533	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c79d0
get_cabac_bypass_x86	0.008531	0.008531	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x3c74c5
add_mb	0.008526	0.008526	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x733df9
__memmove_evex_unaligned_erms	0.008516	0.008516	0.0	0.0	libc.so.6	__memmove_evex_unaligned_erms	memmove-vec-unaligned-erms.S	0x198940
pred_8x16_motion	0.008512	0.008512	0.0	0.0	libavcodec.so.62	pred_8x16_motion	h264_mvpred.h	0x3cd69f
decode_mb_skip	0.008512	0.008512	0.0	0.0	libavcodec.so.62	decode_mb_skip	h264_mvpred.h	0x3c9e57
get_cabac_bypass_x86	0.008510	0.008510	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x3c7b08
fill_rectangle	0.008509	0.008509	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3cb440
decode_cabac_mb_ref	0.008508	0.008508	0.0	0.0	libavcodec.so.62	decode_cabac_mb_ref	h264_cabac.c	0x3c6a80
write_back_motion_list	0.008507	0.008507	0.0	0.0	libavcodec.so.62	write_back_motion_list	h264_mvpred.h	0x3c9bac
decode_cabac_field_decoding_flag	0.008503	0.008503	0.0	0.0	libavcodec.so.62	decode_cabac_field_decoding_flag	h264_cabac.c	0x3c9710
decode_significance_8x8_x86	0.008501	0.008501	0.0	0.0	libavcodec.so.62	decode_significance_8x8_x86	h264_cabac.c	0x3c6868
decode_slice	0.008494	0.008494	0.0	0.0	libavcodec.so.62	decode_slice	h264_slice.c	0x40efc0
await_reference_mb_row	0.008493	0.008493	0.0	0.0	libavcodec.so.62	await_reference_mb_row	h264_direct.c	0x3d79b5
decode_cabac_residual_dc	0.008478	0.008478	0.0	0.0	libavcodec.so.62	decode_cabac_residual_dc	h264_cabac.c	0x3c7f50
